	12A01	12A06	12A08	12A09	12A10	12A11	12B02	12B04	12B05	12B08	12B09	12B10	12B11	12C02	12C05	12C09	12C11	12D05	12D07	12D08	12D09	12D11	12D12	12E02	12E04	12E05	12E06	12E10	12E11	12E12	12F02	12F03	12F04	12F05	12F06	12F08	12F10	12F11	12F12	12G01	12G02	12G03	12G04	12G05	12G06	12G07	12G08	12G09	12G10	12G11	12G12	12H01	12H02	12H04	12H05	12H08	12H09	12H10	12H11	13A01	13A02	13A03	13A04	13A08	13A10	13A11	13B01	13B03	13B07	13B10	13B11	13B12	13C01	13C04	13C05	13C10	13C12	13D01	13D03	13D07	13D09	13D11	13D12	13E02	13E04	13E05	13E06	13E07	13E09	13E10	13F02	13F04	13F08	13F11	13G02	13G04	13G07	13G08	13G10	13G12	13H02	13H04	13H05	13H06	13H11	13H12	14A03	14A04	14A06	14A07	14A10	14A11	14A12	14B06	14B08	14B10	14B11	14B12	14C01	14C02	14C03	14C04	14C05	14C06	14C07	14C08	14C09	14C10	14C11	14D03	14D07	14D09	14D12	14E01	14E02	14E03	14E04	14E05	14E06	14E07	14F04	14F05	14F06	14F08	14F09	14F10	14F11	14G02	14G03	14G04	14G06	14G09	14G10	14G12	14H02	14H05	14H06	14H08	14H09	14H11	1A03	1A05	1A09	1A11	1A12	1B01	1B02	1B03	1B07	1B09	1B10	1B11	1C01	1C02	1C03	1C04	1C05	1C07	1C09	1D01	1D02	1D07	1D08	1D09	1D10	1D12	1E01	1E07	7G11
1A11	20	24	9	9	12	4	13	13	16	22	120	25	8	4	6	7	5	7	5	8	3	6	4	4	6	8	13	3	4	6	6	9	38	11	7	19	7	12	9	72	44	6	9	9	6	9	7	6	5	11	114	4	6	5	7	45	7	6	8	6	7	7	4	7	10	8	6	5	8	6	85	16	5	4	7	7	2	4	7	6	11	6	9	6	8	8	15	6	6	9	4	6	4	5	9	9	9	3	4	2	3	6	6	6	6	6	5	7	6	8	7	20	6	6	5	5	4	4	4	4	6	60	3	5	43	6	66	8	11	4	54	5	10	4	9	6	7	5	5	8	12	3	4	6	4	5	4	5	4	7	10	2	5	9	2	3	6	5	2	2	5	4	4	0	1	3	2	0	4	4	4	5	8	8	11	8	6	12	8	8	6	4	3	6	3	4	6	6	9
1A12	19	23	8	8	11	3	14	12	15	21	121	26	7	5	5	6	6	6	4	9	4	7	5	5	5	7	12	4	5	7	7	10	39	10	8	20	8	13	10	73	45	5	10	10	7	10	8	7	6	12	113	5	7	6	8	44	8	5	7	7	6	8	5	8	11	9	7	6	9	7	86	17	6	5	8	8	3	5	6	7	12	7	10	7	7	9	16	5	5	8	5	5	5	6	10	10	8	4	3	3	4	7	5	5	7	7	6	8	7	9	6	21	5	7	6	6	5	5	3	3	5	59	2	4	42	5	65	7	12	3	53	4	11	3	8	5	8	4	6	9	11	4	5	5	5	6	5	6	5	8	11	3	6	10	3	4	7	4	1	3	6	5	3	1	0	2	3	1	5	3	5	4	7	7	10	7	5	11	7	7	5	3	2	5	2	3	5	5	8
1B01	21	23	8	8	13	5	16	12	15	21	121	26	7	7	5	6	4	6	6	9	4	7	5	7	5	7	12	4	5	9	9	10	39	10	8	20	8	13	10	73	45	5	10	10	7	8	8	7	8	12	115	7	5	8	10	44	6	5	7	9	4	8	7	8	11	11	9	6	9	9	88	19	4	5	8	8	5	5	6	5	12	7	12	7	7	7	16	5	5	8	5	5	5	4	10	12	8	4	5	3	6	7	7	5	9	7	8	8	7	9	4	21	5	7	6	6	7	5	5	5	3	59	4	6	42	5	65	7	12	3	53	4	11	3	8	5	8	4	8	7	11	4	5	5	5	6	7	8	5	8	11	5	6	10	5	4	9	2	3	5	6	5	5	3	2	0	3	3	7	1	5	4	7	7	12	7	5	11	9	9	7	3	0	5	0	5	5	5	8
1B02	20	24	9	9	12	4	13	13	16	22	120	25	8	4	6	7	3	7	5	8	3	6	6	4	6	6	11	3	2	6	6	9	38	11	5	17	7	12	9	70	42	4	7	7	4	7	5	4	5	11	114	4	4	5	7	45	5	6	8	6	5	5	4	5	10	8	8	5	6	6	85	16	3	2	7	7	4	4	7	6	9	6	9	4	6	6	15	6	6	9	2	6	2	3	9	11	7	3	4	4	3	4	6	4	6	6	7	5	4	10	5	22	6	4	5	3	4	4	4	4	4	60	3	5	43	6	66	8	11	2	54	3	10	2	9	6	5	3	7	6	12	3	2	4	6	3	4	7	4	9	10	4	5	9	4	5	8	3	4	4	5	4	4	2	3	3	0	2	6	4	4	3	8	8	11	8	6	12	8	8	6	4	3	4	3	6	4	4	9
1B03	20	24	9	9	12	4	13	13	16	22	120	25	8	4	6	7	5	7	5	8	3	6	4	4	6	8	13	3	4	6	6	9	38	11	7	19	7	12	9	72	44	6	9	9	6	9	7	6	5	11	114	4	6	5	7	45	7	6	8	6	7	7	4	7	10	8	6	5	8	6	85	16	5	4	7	7	2	4	7	6	11	6	9	6	8	8	15	6	6	9	4	6	4	5	9	9	9	3	4	2	3	6	6	6	6	6	5	7	6	8	7	20	6	6	5	5	4	4	4	4	6	60	3	5	43	6	66	8	11	4	54	5	10	4	9	6	7	5	5	8	12	3	4	6	4	5	4	5	4	7	10	2	5	9	2	3	6	5	2	2	5	4	4	0	1	3	2	0	4	4	4	5	8	8	11	8	6	12	8	8	6	4	3	6	3	4	6	6	9
1B07	22	28	9	13	16	8	17	15	20	26	122	29	12	8	10	11	9	11	9	12	7	10	8	6	10	12	17	7	8	10	10	13	42	15	11	23	11	12	13	72	46	10	13	11	10	13	11	10	9	15	116	8	10	9	11	49	11	10	12	8	11	9	8	11	10	12	10	9	12	10	87	16	9	8	11	11	6	8	11	10	15	10	11	8	12	10	17	10	10	13	8	10	8	9	13	11	13	7	8	6	7	10	10	10	10	10	9	11	10	12	11	24	10	10	7	9	8	2	8	8	10	62	7	9	45	10	68	12	15	8	58	7	10	8	13	8	11	9	9	12	16	7	8	10	8	7	8	9	8	11	12	6	9	13	6	7	6	9	6	6	9	8	8	4	5	7	6	4	0	8	6	5	12	12	15	12	10	16	12	12	10	8	7	10	7	8	10	10	13
1B09	22	24	9	9	14	6	17	13	16	22	122	27	8	8	6	7	5	7	7	10	5	8	6	8	6	8	13	5	6	10	10	11	40	11	9	21	9	14	11	74	46	6	11	11	8	9	9	8	9	13	116	8	6	9	11	45	7	6	8	10	5	9	8	9	12	12	10	7	10	10	89	20	5	6	9	9	6	6	7	6	13	8	13	8	8	8	17	6	6	9	6	6	6	5	11	13	9	5	6	4	7	8	8	6	10	8	9	9	8	10	5	22	6	8	7	7	8	6	6	6	4	60	5	7	43	6	66	8	13	4	54	5	12	4	9	6	9	5	9	8	12	5	6	6	6	7	8	9	6	9	12	6	7	11	6	5	10	3	4	6	7	6	6	4	3	1	4	4	8	0	6	5	8	8	13	8	6	12	10	10	8	4	1	6	1	6	6	6	9
1B10	24	28	13	13	16	8	17	15	20	26	124	29	12	8	10	11	7	11	9	12	7	10	8	8	10	10	15	7	6	10	10	11	42	15	9	21	9	14	13	72	46	8	11	9	8	11	9	8	9	15	118	8	8	9	11	49	9	10	12	8	9	7	8	9	10	12	10	9	10	10	87	18	7	6	11	11	6	8	11	8	13	10	11	6	10	8	13	10	10	13	6	10	6	7	11	13	11	5	8	6	7	8	10	8	10	10	9	9	8	12	9	24	10	8	7	7	8	4	8	8	8	64	7	9	47	10	70	12	11	6	58	7	10	6	13	10	9	7	9	10	16	5	6	8	8	7	8	9	6	11	10	6	7	13	6	7	6	7	6	6	5	8	8	4	5	5	4	4	6	6	0	5	12	12	15	12	10	12	12	12	10	6	5	8	5	8	8	8	13
1B11	21	25	8	10	13	5	16	12	17	23	123	28	9	7	7	8	6	8	6	11	6	9	9	5	7	7	12	6	5	9	9	12	41	12	8	20	10	13	12	73	45	5	10	8	7	10	8	7	8	14	115	7	7	8	10	46	8	7	9	7	6	6	7	8	11	11	11	8	9	9	88	17	6	5	10	10	7	7	8	9	12	9	10	5	7	7	16	7	7	10	5	7	5	6	12	14	8	6	5	7	6	7	7	5	9	9	10	8	7	13	6	25	7	7	8	6	7	3	5	5	5	61	4	6	44	7	67	9	14	3	55	4	11	3	10	7	8	4	10	9	13	6	5	5	9	6	7	10	7	12	11	7	8	12	7	8	7	4	5	7	8	7	5	5	4	4	3	5	5	5	5	0	9	9	12	9	7	13	9	9	7	5	4	5	4	7	5	5	10
1C01	22	22	7	7	12	4	15	11	14	20	118	23	4	6	6	5	9	5	9	8	7	8	4	10	4	12	17	7	10	8	8	17	40	9	13	23	15	18	13	74	48	6	13	13	10	11	11	10	9	11	114	8	8	9	9	41	7	4	6	12	5	13	6	13	16	10	12	5	12	12	87	14	5	8	5	5	6	4	5	8	13	6	11	10	10	10	19	4	4	7	10	4	6	5	11	11	7	7	4	6	5	8	6	6	8	6	9	9	8	6	5	16	2	4	7	5	4	12	4	4	8	58	5	5	39	6	62	4	17	6	50	7	12	6	7	4	9	7	9	6	10	7	6	6	4	7	6	9	8	7	12	6	9	9	6	5	12	5	6	8	7	4	4	8	7	7	8	8	12	8	12	9	0	4	9	6	2	12	6	6	6	10	7	10	7	6	8	6	7
